name,url,ingredients,rating,rating_count,image_url
Vanilla Glaze,https://www.allrecipes.com/recipe/9838/vanilla-glaze/,1 ½ cups confectioners' sugar ; 2 ½ teaspoons milk ; ⅛ teaspoon salt ; ¼ teaspoon vanilla extract ; 1 teaspoon butter,4.45,581,https://www.allrecipes.com/thmb/Fv2Eka1dwG2SuLF6ghF1QqBBosU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9838_Vanilla-Glaze_Dianne_753814_original-4x3-1-6aef4c4b51534de4b945d11b4793fbd3.jpg
Shortcut Shepherd's Pie,https://www.allrecipes.com/recipe/20687/shortcut-shepherds-pie/,"5  potatoes, peeled and quartered ; 1 pound lean ground beef ; 1 (4 ounce) can sliced mushrooms ; 1 (15 ounce) can mixed vegetables ; 1 (10.75 ounce) can  condensed cream of mushroom soup ; 1 (10.75 ounce) can  condensed cream of celery soup ;   salt and pepper to taste ; 3 tablespoons butter",4.33,580,https://www.allrecipes.com/thmb/3utDxOJQe3DK4g2m2t3VDJS8X_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/704719-d0b7ac1ab6934daa8952da2db148601a.jpg
Creamy Macaroni and Cheese,https://www.allrecipes.com/recipe/87860/creamy-macaroni-and-cheese/,"1 tablespoon salt ; 1 pound elbow, shell or other bite-size shaped pasta ; 2 (12 fluid ounce) cans evaporated milk ; 1 cup chicken broth ; 3 tablespoons butter ; ⅓ cup flour ; 1 ½ tablespoons Dijon mustard ; ½ cup grated Parmesan cheese ;   Freshly ground black pepper ; 1 pound grated extra-sharp cheddar cheese",4.07,579,https://www.allrecipes.com/thmb/7zjWlLubB-5SmoETWufwahVZ1Eo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/268654-63e78ffa085a47dcb0f6ce678255e8bd.jpg
Alysia's Basic Meat Lasagna,https://www.allrecipes.com/recipe/24074/alysias-basic-meat-lasagna/,"1 ½ pounds ground beef ; 1 teaspoon garlic powder ; 1 (28 ounce) jar sausage flavored spaghetti sauce ; 1 (8 ounce) can tomato sauce ; 1 teaspoon dried oregano ; 1 tablespoon olive oil ; 4 cloves garlic, minced ; 1 small onion, diced ; 1 (8 ounce) package mozzarella cheese, shredded ; 8 ounces provolone cheese, shredded ; 1 (15 ounce) container ricotta cheese ; 2  eggs ; ¼ cup milk ; ½ teaspoon dried oregano ; 9  lasagna noodles ; ¼ cup grated Parmesan cheese",4.6,579,https://www.allrecipes.com/thmb/h6JyYS3LgCnQCoXnccjGULy3KOs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/748630-8a38ff27e31d44ecba18e2db2d843a76.jpg
Cajun Crawfish and Shrimp Etouffe,https://www.allrecipes.com/recipe/70483/cajun-crawfish-and-shrimp-etouffe/,"⅓ cup vegetable oil ; ¼ cup all-purpose flour ; 1 small green bell pepper, diced ; 1 medium onion, chopped ; 2 cloves garlic, minced ; 2 stalks celery, diced ; 2  fresh tomatoes, chopped ; 2 tablespoons Louisiana-style hot sauce ; ⅓ teaspoon ground cayenne pepper  (Optional); 2 tablespoons seafood seasoning ; ½ teaspoon ground black pepper ; 1 cup fish stock ; 1 pound crawfish tails ; 1 pound medium shrimp - peeled and deveined",4.79,579,https://www.allrecipes.com/thmb/y5mUdCTXXYuCDeBSuaW91amxiH0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Cajun-Crawfish-and-Shrimp-Etouffee-2000-bd1769b8589c4b0aa0869228b03f6f0c.jpg
Lasagna Alfredo Roll Ups,https://www.allrecipes.com/recipe/15225/lasagna-alfredo-roll-ups/,8  lasagna noodles ; 1 tablespoon olive oil ; 1 (10 ounce) package frozen chopped spinach ; 2 tablespoons thinly sliced green onion ; 1 pint part-skim ricotta cheese ; ¼ cup grated Parmesan cheese ; ½ teaspoon salt ; 1  egg ; 21 ounces Alfredo-style pasta sauce ; 1 cup shredded mozzarella cheese,4.5,578,https://www.allrecipes.com/thmb/ZhuLbenJaYXzEwTtuvHSRZVE4qY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/700656-316e6b3d78c44e06a07cee91b87a7e7e.jpg
Slow Cooker Chicken Marrakesh,https://www.allrecipes.com/recipe/218769/slow-cooker-chicken-marrakesh/,"1  onion, sliced ; 2 cloves garlic, minced  (Optional); 2 large carrots, peeled and diced ; 2 large sweet potatoes, peeled and diced ; 1 (15 ounce) can garbanzo beans, drained and rinsed ; 2 pounds skinless, boneless chicken breast halves, cut into 2-inch pieces ; ½ teaspoon ground cumin ; ½ teaspoon ground turmeric ; ¼ teaspoon ground cinnamon ; ½ teaspoon ground black pepper ; 1 teaspoon dried parsley ; 1 teaspoon salt ; 1 (14.5 ounce) can diced tomatoes",4.19,578,https://www.allrecipes.com/thmb/5CMLX-A5jmwCQ-mvAwnz2uewF1w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1129611-09734b255f5b471ead20ae3892140f98.jpg
Kyle's Favorite Beef Stew,https://www.allrecipes.com/recipe/149731/kyles-favorite-beef-stew/,"3 pounds cubed beef stew meat ; ¼ cup all-purpose flour ; ½ teaspoon salt ; 3 tablespoons olive oil ; 3 tablespoons Worcestershire sauce ; 1 pound carrots, peeled and cut into 2-inch pieces ; 4 large potatoes, cubed ; 1 tablespoon dried parsley ; 1 ½ teaspoons ground black pepper ; 2 cups boiling water ; 2 (1 ounce) envelopes onion soup mix ; 3 tablespoons butter ; 3 large onions, quartered ; 2 tablespoons minced garlic ; ½ cup burgundy wine ; 2 (6 ounce) packages fresh button mushrooms, halved ; ¼ cup warm water ; 3 tablespoons cornstarch",4.62,578,https://www.allrecipes.com/thmb/nxy7EdGikSaUfZ6ns09HmM5D_8w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6952286-b64fb625f79a45a6a3ed15cf89273253.jpg
Easter Breakfast Casserole,https://www.allrecipes.com/recipe/20900/easter-breakfast-casserole/,"1 pound bacon ; ¼ cup diced onion ; ¼ cup diced green bell pepper ; 3 cups shredded Cheddar cheese ; 8  eggs ; 2 cups milk ; 1 (16 ounce) package frozen hash brown potatoes, thawed",4.53,578,https://www.allrecipes.com/thmb/9NfN-mWH2QxAghXy9ocTazXe1Ng=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4556853-easter-breakfast-casserole-AllrecipesPhoto-1x1-1-3cba620ee76b4a328dbbf8ad1c51e776.jpg
Swiss Chicken Casserole I,https://www.allrecipes.com/recipe/8497/swiss-chicken-casserole-i/,"6  skinless, boneless chicken breast halves ; 6 slices Swiss cheese ; 1 (10.75 ounce) can  condensed cream of chicken soup ; ¼ cup milk ; 1 (8 ounce) package dry bread stuffing mix ; ½ cup melted butter",4.45,577,https://www.allrecipes.com/thmb/It7N5wGhb_hQjvYlNybtHgN8h6k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7777409-1ee145ad0e6e4da6b7ebfe018d17d631.jpg
Chili Seasoning Mix II,https://www.allrecipes.com/recipe/26391/chili-seasoning-mix-ii/,"¼ cup all-purpose flour ; 4 teaspoons chili powder ; 1 tablespoon crushed red pepper ; 1 tablespoon dried minced onion ; 1 tablespoon dried, minced garlic ; 2 teaspoons white sugar ; 2 teaspoons ground cumin ; 2 teaspoons dried parsley ; 2 teaspoons salt ; 1 teaspoon dried basil ; ¼ teaspoon ground black pepper",4.74,577,https://www.allrecipes.com/thmb/SZwqXjh7d6vmLA-w8by5Bpp2K_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/26391-ChiliSeasoningMixii-MFS-2X3-0010-2148607b0c694f71b84d08a08071540d.jpg
Steff's Shepherd Pie,https://www.allrecipes.com/recipe/84745/steffs-shepherd-pie/,"1 pound ground beef ; 1 (14.5 ounce) can green beans, drained ; 1 (10.5 ounce) can cream of mushroom soup ; ½  onion, diced ; 1 cup shredded Cheddar cheese ; 2 cups mashed potatoes",4.49,577,https://www.allrecipes.com/thmb/AfbszvnQPjHXU17UKHnzW49ikLM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/728436-steffs-shepherd-pie-Melissa-Goff-4x3-1-d95cc946b7474032919b14dc8d60d9a3.jpg
Baked Homemade Macaroni and Cheese,https://www.allrecipes.com/recipe/102393/baked-homemade-macaroni-and-cheese/,"2 ½ cups elbow macaroni ; ¼ cup butter ; ¼ cup all-purpose flour ; ½ teaspoon salt ; 4 cups milk ; 1 pound shredded Cheddar cheese ; ¼ cup butter, melted ; 1 sleeve buttery round crackers, crushed",4.36,576,https://www.allrecipes.com/thmb/fuUNdIoUPfTBjruDx9WFjpM9QZc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-102393-baked-homemade-macaroni-and-cheese-VAT-step-06-cbab69eb23cb4ab29033eb518240d77b.jpg
Thai Green Curry Chicken,https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/,"1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes ; 1 tablespoon dark soy sauce ; 1 tablespoon all-purpose flour ; 2 tablespoons cooking oil ; 2 tablespoons green curry paste ; 2  green onions with tops, chopped ; 3 cloves garlic, peeled and chopped ; 1 teaspoon fresh ginger, peeled and finely chopped ; 2 cups coconut milk ; 1 tablespoon fish sauce ; 1 tablespoon dark soy sauce ; 2 tablespoons white sugar ; ½ cup cilantro leaves, for garnish",4.56,576,https://www.allrecipes.com/thmb/egAoEnEByQJp4AB18MTg_CNvWYQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/141833-thai-green-curry-chicken-ddmfs-Beauty-3x4-1-ac96aa4323744fd6b494c7f0ab59b4ca.jpg
Garlic Chicken Stir Fry,https://www.allrecipes.com/recipe/8934/garlic-chicken-stir-fry/,"2 tablespoons peanut oil ; 6 cloves garlic, minced ; 1 teaspoon grated fresh ginger  ; 1 bunch green onions, chopped ; 1 teaspoon salt ; 1 pound boneless skinless chicken breasts, cut into strips ; 2  onions, thinly sliced ; 1 cup sliced cabbage ; 1  red bell pepper, thinly sliced ; 2 cups sugar snap peas ; 1 cup chicken broth ; 2 tablespoons soy sauce ; 2 tablespoons white sugar ; 2 tablespoons cornstarch",4.34,576,https://www.allrecipes.com/thmb/vI5rFWO5eOqaAOnlmmlGOhdm4JM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5507070_Garlic-Chicken-Stir-Fry-1x1-1-2000-7610f338a6d045ada658bac5d226a486.jpg
Bacon Wrapped Pork Medallions,https://www.allrecipes.com/recipe/209691/bacon-wrapped-pork-medallions/,8 slices bacon ; 1 tablespoon garlic powder ; 1 teaspoon seasoned salt ; 1 teaspoon dried basil ; 1 teaspoon dried oregano ; 2 pounds pork tenderloin ; 2 tablespoons butter ; 2 tablespoons olive oil,4.64,575,https://www.allrecipes.com/thmb/w1AZToLcc5QBfughIJBFOplXnr8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6730827-bacon-wrapped-pork-medallions-Erik-Nevarez-4x3-1-0b8083da311a4cd1af48bf3fb2b67b41.jpg
Mushroom Sauce Baked Pork Chops,https://www.allrecipes.com/recipe/21360/mushroom-sauce-baked-pork-chops/,"6  pork chops ; 1 teaspoon salt ; ¼ teaspoon ground black pepper ;   garlic powder to taste ; 2 tablespoons butter ; 2 large onions, finely chopped ; 1 (10.75 ounce) can  condensed cream of mushroom soup ; 1 ¼ cups milk ; 4 cups thinly sliced potatoes",4.37,575,https://www.allrecipes.com/thmb/CKbzr7Fr9RiBoK3V_POmNoYCQmI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9323300-mushroom-sauce-baked-pork-chops-Cindy-R-1x1-1-1afc1f69444d4e23a528b5aa97b753ec.jpg
French Beef Stew,https://www.allrecipes.com/recipe/13345/french-beef-stew/,"1 ½ pounds cubed beef stew meat ; ¼ cup all-purpose flour ; 2 tablespoons vegetable oil ; 2 (14.5 ounce) cans Italian-style diced tomatoes ; 1 (14 ounce) can beef broth ; 4  carrots, chopped ; 2  potatoes, peeled and chopped ; ¾ teaspoon dried thyme ; 2 tablespoons Dijon-style prepared mustard ;   salt and pepper to taste",4.5,574,https://www.allrecipes.com/thmb/LTWOYr4g_VNxjpUmO633FV-MdCE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/13345french-beef-stewMyHotSouthernMess4x3-20398a7090da4026acecaa565faedfc5.jpg
German Apple Pancake,https://www.allrecipes.com/recipe/23900/german-apple-pancake/,"4  eggs ; ½ cup unbleached all-purpose flour ; ½ teaspoon baking powder ; 1 tablespoon sugar ; 1 pinch salt ; 1 cup milk ; 1 teaspoon vanilla extract ; 2 tablespoons unsalted butter, melted ; ½ teaspoon ground nutmeg ; ¼ cup unsalted butter ; ½ cup white sugar, divided ; ½ teaspoon ground cinnamon ; ½ teaspoon ground nutmeg ; 1 large tart apple - peeled, cored and sliced",4.44,574,https://www.allrecipes.com/thmb/wRdvoz3Rp6vDkHunWedNx9u8bRA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4089249-9dbaba86e56f4b08a91163b789e22594.jpg
Italian Chicken Skillet,https://www.allrecipes.com/recipe/171442/italian-chicken-skillet/,"1 tablespoon olive oil ; 4  skinless, boneless chicken breast halves, cubed ; 2 cloves garlic, chopped, or to taste ; ½ cup red cooking wine ; 1 (28 ounce) can Italian-style diced tomatoes ; 8 ounces small seashell pasta ; 5 ounces fresh spinach, chopped ; 1 cup shredded mozzarella cheese",4.44,574,https://www.allrecipes.com/thmb/jkRQUFZYkGx6VhomAll7efCee5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3470199-italian-chicken-skillet-Rock_lobster-1x1-1-2421f7bdd7484bbc9c5b9b8d55e676a9.jpg
Easy Garlic Chicken,https://www.allrecipes.com/recipe/8918/easy-garlic-chicken/,"1 ½ pounds skinless, boneless chicken breast halves ; ¼ cup butter ; 6 cloves crushed garlic ; 2 cups seasoned dry bread crumbs",4.36,574,https://www.allrecipes.com/thmb/Gjz4Sq2RyA9IPDeb20G4pas8wuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/762603-95795bf692ff4cd3b93639247e4b3e90.jpg
Mediterranean Chicken,https://www.allrecipes.com/recipe/15486/mediterranean-chicken/,"2 teaspoons olive oil ; 2 tablespoons white wine ; 6  skinless, boneless chicken breast halves ; 3 cloves garlic, minced ; ½ cup diced onion ; 3 cups tomatoes, chopped ; ½ cup white wine ; 2 teaspoons chopped fresh thyme ; 1 tablespoon chopped fresh basil ; ½ cup kalamata olives ; ¼ cup chopped fresh parsley ;   salt and pepper to taste",4.37,574,https://www.allrecipes.com/thmb/9TiWES10I1wfgkxpSNLkr-bbbNI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/859251-ff7d11f17e0b4bc580875e85f6501909.jpg
Microwave Peanut Brittle,https://www.allrecipes.com/recipe/19888/microwave-peanut-brittle/,1 cup white sugar ; ½ cup light corn syrup ; 1 cup salted peanuts ; 1 teaspoon butter ; 1 teaspoon vanilla extract ; 1 teaspoon baking soda,4.45,574,https://www.allrecipes.com/thmb/iCACp4pJfalsIOUXdqLoFj7h9Hk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19888microwave-peanut-brittleYoly4x3-31108803fa464cfb97cb968d8d593583.jpg
Simple Country Ribs,https://www.allrecipes.com/recipe/25432/simple-country-ribs/,"2 ½ pounds pork spareribs ; 2 (18 ounce) bottles barbeque sauce ; 1  onion, quartered ; 1 teaspoon salt ; ½ teaspoon ground black pepper",4.65,573,https://www.allrecipes.com/thmb/AQwuNQg0fD9gI0PRRGQBb8SdCpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8378062-simple-country-ribs-Marc-Miller-4x3-1-d463efbbeef14e5facde8accde056f52.jpg
Pumpkin Pie Bread,https://www.allrecipes.com/recipe/7243/pumpkin-pie-bread/,3 ½ cups all-purpose flour ; 2 teaspoons baking soda ; 1 teaspoon baking powder ; 3 teaspoons pumpkin pie spice ; 1 teaspoon salt ; 3 cups white sugar ; 1 cup vegetable oil ; 4  eggs ; 1 (15 ounce) can pumpkin puree ; ½ cup water,4.72,573,https://www.allrecipes.com/thmb/xn2ethrOdxWZ9LK5A2DlKpo1jJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4103554-e91ae84def6a4a3598fb4633fc4d08fe.jpg
Slow Cooker Beef Vegetable Soup,https://www.allrecipes.com/recipe/14986/slow-cooker-beef-vegetable-soup/,"1 pound cubed beef stew meat ; 1 (15.25 ounce) can whole kernel corn, undrained ; 1 (15 ounce) can green beans ; 1 (15 ounce) can carrots with juice ; 1 (15 ounce) can sliced potatoes with juice ; 1 (28 ounce) can crushed tomatoes ; 1 (1.25 ounce) package beef with onion soup mix ;   salt and pepper to taste",4.59,573,https://www.allrecipes.com/thmb/aUAGKYdR3uIvbgQsGuTDEuvmXcM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/103074-fc2e150197994a118af8caba9d1bba30.jpg
Pineapple Grilled Pork Chops,https://www.allrecipes.com/recipe/218070/pineapple-grilled-pork-chops/,"1 (8 ounce) can pineapple rings, juice drained and reserved ; ¼ cup brown sugar ; ¼ cup soy sauce ; ¼ teaspoon garlic powder ; 4  pork chops ; 1 pinch ground black pepper",4.63,572,https://www.allrecipes.com/thmb/B09trap96gq1jqgnivw-pv_i29A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4537724-pineapple-grilled-pork-chops-fabeveryday-4x3-1-94fbbfbe06cc4245b7a20032e3336f48.jpg
"Best Ever Sausage with Peppers, Onions, and Beer!",https://www.allrecipes.com/recipe/44470/best-ever-sausage-with-peppers-onions-and-beer/,"3 tablespoons olive oil ; 3 pounds Italian sausage links ; 3  red bell peppers, sliced ; 2  green bell peppers, sliced ; 2 large red onions, sliced ; 3 cloves garlic, chopped ; 2 (12 fluid ounce) bottles beer ; 1 (6 ounce) can tomato paste ; 3 tablespoons chopped fresh oregano ; 3 tablespoons chopped fresh cilantro ; 2 tablespoons hot sauce ;   salt and pepper to taste",4.53,572,https://www.allrecipes.com/thmb/NPn3DXXADQAKyzGoymBUpfF3ALU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1458257-best-ever-sausage-with-peppers-onions-and-beer-Roxy-Mom-4x3-1-7f8df7ec3ff64e8ca4669b6d88922dea.jpg
Honey Walnut Shrimp,https://www.allrecipes.com/recipe/93234/honey-walnut-shrimp/,"1 cup water ; ⅔ cup white sugar ; ½ cup walnuts ; 4  egg whites ; ⅔ cup mochiko (glutinous rice flour) ; ¼ cup mayonnaise ; 1 pound large shrimp, peeled and deveined ; 2 tablespoons honey ; 1 tablespoon canned sweetened condensed milk ; 1 cup vegetable oil for frying",4.51,570,https://www.allrecipes.com/thmb/hcSCcS-JOWGgj2f5-FYd6yen_R4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-93234-honey-walnut-shrimp-DDMFS-4x3-0bc9a6731f864200b63d050e0e222d0a.jpg
Classic Meatloaf,https://www.allrecipes.com/recipe/219171/classic-meatloaf/,"1  carrot, coarsely chopped ; 1 rib celery, coarsely chopped ; ½  onion, coarsely chopped ; ½  red bell pepper, coarsely chopped ; 4  white mushrooms, coarsely chopped ; 3 cloves garlic, coarsely chopped ; 2 ½ pounds ground chuck ; 1 tablespoon Worcestershire sauce ; 1  egg, beaten ; 1 teaspoon dried Italian herbs ; 2 teaspoons salt ; 1 teaspoon ground black pepper ; ½ teaspoon cayenne pepper ; 1 cup plain bread crumbs ; 1 teaspoon olive oil ; 2 tablespoons brown sugar ; 2 tablespoons ketchup ; 2 tablespoons Dijon mustard ;   hot pepper sauce to taste",4.54,570,https://www.allrecipes.com/thmb/ELXh-l3O-rlXPcsZ7GkSM6aMbUs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/219171-classic-meatloaf-DDMFS-4x3-6b2d4a8c103146c1856eb0bf135bbffe.jpg
Frogmore Stew,https://www.allrecipes.com/recipe/19481/frogmore-stew/,"6 quarts water ; ¾ cup Old Bay Seasoning TM ; 2 pounds new red potatoes ; 2 pounds hot smoked sausage links, cut into 2 inch pieces ; 12 ears corn - husked, cleaned and quartered ; 4 pounds large fresh shrimp, unpeeled",4.75,570,https://www.allrecipes.com/thmb/ARGsHYwmgQFwgVmAT6vaek6zfqs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1398708-4cdd043de5304dd885064dadbbbe3ee9.jpg
Italian Sausage Tortellini Soup,https://www.allrecipes.com/recipe/16797/italian-sausage-tortellini-soup/,"1 (3.5 ounce) link sweet Italian sausage, casings removed ; 1 cup chopped onions ; 2 cloves garlic, minced ; 5 cups beef stock ; ⅓ cup water ; ½ cup red wine ; 4  tomatoes - peeled, seeded and chopped ; 1 cup chopped carrots ; ½ teaspoon dried basil ; ½ teaspoon dried oregano ; 1 cup tomato sauce ; 1  zucchini, chopped ; 8 ounces cheese tortellini ; 1  green bell pepper, chopped ; 1 tablespoon chopped fresh parsley ; 2 tablespoons grated Parmesan cheese for topping",4.8,570,https://www.allrecipes.com/thmb/KyqeNqZYOBDfzS1ibyila_30CmE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Italian-Sausage-Tortellini-Soup-by-Steve-Shaffer-2000-40b3ddf31b9646b38da30c10117e7eba.jpg
Lisa's Chocolate Chocolate Chip Cake,https://www.allrecipes.com/recipe/8030/lisas-chocolate-chocolate-chip-cake/,1 (18.25 ounce) package chocolate cake mix ; 1 (3.9 ounce) package instant chocolate pudding mix ; 1 cup vegetable oil ; 4  eggs ; ½ cup hot water ; 1 cup sour cream ; 1 teaspoon vanilla extract ; 1 cup mini semi-sweet chocolate chips,4.72,570,https://www.allrecipes.com/thmb/GZqybSR-3TYEa4jSSeJfK0cBnsg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/433854-37e79b3666f14aaa9cfe4167b4657b18.jpg
Greek Pasta with Tomatoes and White Beans,https://www.allrecipes.com/recipe/11669/greek-pasta-with-tomatoes-and-white-beans/,"2 (14.5 ounce) cans Italian-style diced tomatoes ; 1 (19 ounce) can cannellini beans, drained and rinsed ; 10 ounces fresh spinach, washed and chopped ; 8 ounces penne pasta ; ½ cup crumbled feta cheese",4.16,569,https://www.allrecipes.com/thmb/W_A6fbQ5wOZsIwSj6AJrXp5ZI6M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/960901-8eeca8953e02434585da291f5a09922c.jpg
Jenny's Grilled Chicken Breasts,https://www.allrecipes.com/recipe/16160/jennys-grilled-chicken-breasts/,"4  skinless, boneless chicken breast halves ; ½ cup lemon juice ; ½ teaspoon onion powder ;   ground black pepper to taste ;   seasoning salt to taste ; 2 teaspoons dried parsley",4.4,569,https://www.allrecipes.com/thmb/UgUZpaTRGWIHEk57yWMhMEjffiY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16160-juicy-grilled-chicken-breasts-ddmfs-5594-hero-3x4-902673c819994c0191442304b40104af.jpg
Chococonut Chip Cookies,https://www.allrecipes.com/recipe/19205/chococonut-chip-cookies/,1 cup butter ; 1 cup white sugar ; ½ cup light brown sugar ; 2  eggs ; 1 teaspoon vanilla extract ; 2 ¼ cups all-purpose flour ; 1 teaspoon baking soda ; 1 teaspoon salt ; 2 cups semisweet chocolate chips ; 2 cups flaked coconut,4.65,569,https://www.allrecipes.com/thmb/hssY-4-6zBmILi5Z6FnSQUcPfgE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1478369-8e637c60e6f54101ab3c705cf97e77f0.jpg
Chicken with Asparagus and Roasted Red Peppers,https://www.allrecipes.com/recipe/90481/chicken-with-asparagus-and-roasted-red-peppers/,"½ cup chicken broth ; 1 pound boned and skinned chicken breast halves ;   salt and pepper to taste ; ½ pound fresh asparagus, trimmed and cut into 2 inch pieces ; 1 (7 ounce) jar roasted red peppers, drained and chopped ; 1 clove garlic, minced ; ½ cup chopped roma (plum) tomatoes ; 1 teaspoon balsamic vinegar, or to taste ; ½ cup shredded mozzarella cheese",4.44,568,https://www.allrecipes.com/thmb/UE-oFe3CVN1IGfFwNhpAvTRGdNk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1580779-3d6e8155f2e2445bb5ea0006f5277400.jpg
Baked Spaghetti Squash with Beef and Veggies,https://www.allrecipes.com/recipe/72143/baked-spaghetti-squash-with-beef-and-veggies/,"1  spaghetti squash, halved and seeded ; 1 pound ground beef ; ½ cup diced green bell pepper ; ½ cup diced red bell pepper ; ¼ cup diced red onion ; 1 clove garlic, chopped ; 1 (14.5 ounce) can Italian-style diced tomatoes, drained ; ½ teaspoon dried oregano ; ½ teaspoon dried basil ; ¼ teaspoon salt ; ¼ teaspoon ground black pepper ; 2 ¼ cups shredded sharp Cheddar cheese",4.54,568,https://www.allrecipes.com/thmb/77F8dLIajZKfEMkQfdk1JkpHsec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1536270-4166dc00698043f69bf796d4805e0256.jpg
Carrot Cupcakes with White Chocolate Cream Cheese Icing,https://www.allrecipes.com/recipe/79313/carrot-cupcakes-with-white-chocolate-cream-cheese-icing/,"2 ounces white chocolate ; 1 (8 ounce) package cream cheese, softened ; ½ cup unsalted butter, softened ; 1 teaspoon vanilla extract ; ½ teaspoon orange extract ; 4 cups confectioners' sugar ; 2 tablespoons heavy cream ; 2  eggs, lightly beaten ; 1 ⅛ cups white sugar ; ⅓ cup brown sugar ; ½ cup vegetable oil ; 1 teaspoon vanilla extract ; 2 cups shredded carrots ; ½ cup crushed pineapple ; 1 ½ cups all-purpose flour ; 1 ¼ teaspoons baking soda ; ½ teaspoon salt ; 1 ½ teaspoons ground cinnamon ; ½ teaspoon ground nutmeg ; ¼ teaspoon ground ginger ; 1 cup chopped walnuts",4.68,568,https://www.allrecipes.com/thmb/oLUE0D4W1nwICrrhk9GsQaMSryo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/666640-carrot-cupcakes-with-white-chocolate-cream-cheese-icing-Dianne-1x1-1-074f2f11d2ce4e028661a927a7ef3df4.jpg
Taco Lasagna,https://www.allrecipes.com/recipe/23105/taco-lasagna/,"2 pounds lean ground beef ; 2 (1.25 ounce) packages taco seasoning mix ; 4 cloves garlic, minced ; ½ teaspoon cayenne pepper ; 1 tablespoon chili powder ; ½ cup water ; 18 (6 inch) corn tortillas ; 1 (24 ounce) jar salsa ; 1 cup sliced green onion ; 1 (16 ounce) container sour cream ; 1 ½ cups shredded Cheddar cheese ; 1 ½ cups shredded Monterey Jack cheese",4.58,567,https://www.allrecipes.com/thmb/4ijrtw3h-EG2FYWCKEI7HwHfA6w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3959651-3a515772e28a41a7852806001a245705.jpg
Lemon Cupcakes,https://www.allrecipes.com/recipe/201921/lemon-cupcakes/,"3 cups self-rising flour ; ½ teaspoon salt ; 1 cup unsalted butter, at room temperature ; 2 cups white sugar ; 4  eggs, at room temperature ; 1 teaspoon vanilla extract ; 2 tablespoons lemon zest ; 1 cup whole milk, divided ; 2 ½ tablespoons fresh lemon juice, divided ; 2 cups chilled heavy cream ; ¾ cup confectioners' sugar ; 1 ½ tablespoons fresh lemon juice",4.42,566,https://www.allrecipes.com/thmb/UO_69OGuQi9G2mNPCKG4L3UD054=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5154425-lemon-cupcakes-AllrecipesPhoto-1x1-1-4f3ad60a12cb4528b08d8a9f91d0aaa4.jpg
